name,team,battingStyle,bowlingStyle,playingRole
KartikTyagi,rajasthan royals,Right hand Bat,Right arm Fast,Bowler
MandeepSingh,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder
ChrisGayle,Punjab Kings,Left hand Bat,Right arm Offbreak,Allrounder
RahulChahar,Mumbai Indians,Right hand Bat,Legbreak Googly,Bowler
LalitYadav,Delhi Capitals,Right hand Bat,Right arm Offbreak,Allrounder
SandeepWarrier,Kolkata Knight Riders,Right hand Bat,Right arm Medium,Bowler
KyleJamieson,Royal Challengers Bengaluru,Right hand Bat,Right arm Fast medium,Bowler
AdamMilne,Mumbai Indians,Right hand Bat,Right arm Fast,Bowler
AndreRussell,Kolkata Knight Riders,Right hand Bat,Right arm Fast,Allrounder
PrasidhKrishna,Kolkata Knight Riders,Right hand Bat,Right arm Fast medium,Bowler
DavidWarner,Sunrisers Hyderabad,Left hand Bat,Legbreak,Opening Batter
KedarJadhav,Sunrisers Hyderabad,Right hand Bat,Right arm Offbreak,Batting Allrounder
KhaleelAhmed,Sunrisers Hyderabad,Right hand Bat,Left arm Fast medium,Bowler
TabraizShamsi,rajasthan royals,Right hand Bat,Left arm Wrist spin,Bowler
TimDavid,Royal Challengers Bengaluru,Right hand Bat,Right arm Offbreak,Middle order Batter
WaninduHasaranga,Royal Challengers Bengaluru,Right hand Bat,Legbreak,Allrounder
NavdeepSaini,Royal Challengers Bengaluru,Right hand Bat,Right arm Fast,Bowler
IshanPorel,Punjab Kings,Right hand Bat,Right arm Medium,Bowler
AdilRashid,Punjab Kings,Right hand Bat,Legbreak,Bowler
SachinBaby,Royal Challengers Bengaluru,Left hand Bat,Right arm Offbreak,Batter
AnmolpreetSingh,Mumbai Indians,Right hand Bat,Right arm Offbreak,Batter
PrabhsimranSingh,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
DawidMalan,Punjab Kings,Left hand Bat,Legbreak,Top order Batter
IshantSharma,Delhi Capitals,Right hand Bat,Right arm Fast medium,Bowler
RileyMeredith,Punjab Kings,Right hand Bat,Right arm Fast,Bowler
JosButtler,rajasthan royals,Right hand Bat,Not Available,Wicketkeeper Batter
JonnyBairstow,Sunrisers Hyderabad,Right hand Bat,Right arm Medium,Wicketkeeper Batter
VijayShankar,Sunrisers Hyderabad,Right hand Bat,Right arm Medium,Allrounder
DhawalKulkarni,Mumbai Indians,Right hand Bat,Right arm Medium,Bowler
LungiNgidi,Chennai super kings,Right hand Bat,Right arm Fast medium,Bowler
RajatPatidar,Royal Challengers Bengaluru,Right hand Bat,Right arm Offbreak,Top order Batter
DanielSams,Royal Challengers Bengaluru,Right hand Bat,Left arm Fast medium,Allrounder
PatCummins,Kolkata Knight Riders,Right hand Bat,Right arm Fast,Bowler
JagadeeshaSuchith,Sunrisers Hyderabad,Left hand Bat,Slow Left arm Orthodox,Bowler
WashingtonSundar,Royal Challengers Bengaluru,Left hand Bat,Right arm Offbreak,Bowling Allrounder
AmitMishra,Delhi Capitals,Right hand Bat,Legbreak,Bowler
ImranTahir,Chennai super kings,Right hand Bat,Legbreak Googly,Bowler
MananVohra,rajasthan royals,Right hand Bat,Right arm Medium,Opening Batter
KaneRichardson,Royal Challengers Bengaluru,Right hand Bat,Right arm Fast medium,Bowler
KamleshNagarkoti,Kolkata Knight Riders,Right hand Bat,Right arm Fast,Bowler
MuruganAshwin,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler
ChrisWoakes,Delhi Capitals,Right hand Bat,Right arm Fast medium,Allrounder
LukmanMeriwala,Delhi Capitals,Left hand Bat,Left arm Fast medium,Bowler
JalajSaxena,Punjab Kings,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Allrounder
JhyeRichardson,Punjab Kings,Right hand Bat,Right arm Fast,Bowler
HarbhajanSingh,Kolkata Knight Riders,Right hand Bat,Right arm Offbreak,Bowler
ViratSingh,Sunrisers Hyderabad,Left hand Bat,Legbreak Googly,Top order Batter
MujeebUrRahman,Sunrisers Hyderabad,Right hand Bat,Right arm Offbreak,Bowler
AjinkyaRahane,Delhi Capitals,Right hand Bat,Right arm Medium,Top order Batter
ShahbazNadeem,Sunrisers Hyderabad,Right hand Bat,Slow Left arm Orthodox,Bowler
TNatarajan,Sunrisers Hyderabad,Left hand Bat,Left arm Medium,Bowler
MarcoJansen,Mumbai Indians,Right hand Bat,Left arm Medium fast,Bowling Allrounder
BenStokes,rajasthan royals,Left hand Bat,Right arm Fast medium,Allrounder
ChrisLynn,Mumbai Indians,Right hand Bat,Slow Left arm Orthodox,Batter
ObedMcCoy,rajasthan royals,Left hand Bat,Left arm Fast medium,Bowler
MatthewWade,Gujarat Titans,Left hand Bat,Right arm Medium,Wicketkeeper Batter
YashDayal,Gujarat Titans,Right hand Bat,Left arm Medium fast,Bowler
SaiKishore,Gujarat Titans,Left hand Bat,Slow Left arm Orthodox,Bowler
DushmanthaChameera,Super Giants,Right hand Bat,Right arm Fast,Bowler
MohsinKhan,Super Giants,Left hand Bat,Left arm Medium fast,Bowler
AlzarriJoseph,Gujarat Titans,Right hand Bat,Right arm Fast,Bowler
RomarioShepherd,Sunrisers Hyderabad,Right hand Bat,Right arm Fast medium,Bowling Allrounder
JiteshSharma,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
PrerakMankad,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder
FazalhaqFarooqi,Sunrisers Hyderabad,Right hand Bat,Left arm Fast medium,Bowler
MitchellMarsh,Delhi Capitals,Right hand Bat,Right arm Medium,Allrounder
RovmanPowell,Delhi Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
KuldeepYadav,Delhi Capitals,Left hand Bat,Left arm Wrist spin,Bowler
DewaldBrevis,Mumbai Indians,Right hand Bat,Legbreak,Batting Allrounder
TilakVarma,Mumbai Indians,Left hand Bat,Right arm Offbreak,Batting Allrounder
RamandeepSingh,Mumbai Indians,Right hand Bat,Right arm Medium,Middle order Batter
HrithikShokeen,Mumbai Indians,Right hand Bat,Right arm Offbreak,Bowler
DevonConway,Chennai super kings,Left hand Bat,Right arm Medium,Wicketkeeper Batter
NarayanJagadeesan,Chennai super kings,Right hand Bat,Not Available,Opening Batter
MitchellSantner,Chennai super kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
SimarjeetSingh,Chennai super kings,Right hand Bat,Right arm Medium fast,Bowler
MukeshChoudhary,Chennai super kings,Left hand Bat,Left arm Medium,Bowler
MatheeshaPathirana,Chennai super kings,Right hand Bat,Right arm Fast,Bowler
PrashantSolanki,Chennai super kings,Right hand Bat,Legbreak,Bowler
AbhijeetTomar,Kolkata Knight Riders,Right hand Bat,Right arm Offbreak,Opening Batter
SamBillings,Kolkata Knight Riders,Right hand Bat,Not Available,Wicketkeeper Batter
RinkuSingh,Kolkata Knight Riders,Left hand Bat,Right arm Offbreak,Middle order Batter
UmeshYadav,Kolkata Knight Riders,Right hand Bat,Right arm Fast,Bowler
KrishnappaGowtham,Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder
TristanStubbs,Mumbai Indians,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
SanjayYadav,Mumbai Indians,Left hand Bat,Slow Left arm Orthodox,Allrounder
BhanukaRajapaksa,Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter
RishiDhawan,Punjab Kings,Right hand Bat,Right arm Medium fast,Allrounder
AyushBadoni,Super Giants,Right hand Bat,Right arm Offbreak,Batter
ShashankSingh,Sunrisers Hyderabad,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder
MaheeshTheekshana,Chennai super kings,Right hand Bat,Right arm Offbreak,Bowler
KumarKartikeya,Mumbai Indians,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler
RassievanderDussen,rajasthan royals,Right hand Bat,Legbreak,Top order Batter
KuldeepSen,rajasthan royals,Right hand Bat,Right arm Fast,Bowler
KaranSharma,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder
SheldonJackson,Kolkata Knight Riders,Right hand Bat,Not Available,Wicketkeeper Batter
BabaIndrajith,Kolkata Knight Riders,Right hand Bat,Legbreak Googly,Top order Batter
AaronFinch,Kolkata Knight Riders,Right hand Bat,Slow Left arm Orthodox,Top order Batter
AnukulRoy,Kolkata Knight Riders,Left hand Bat,Slow Left arm Orthodox,Allrounder
HarshitRana,Kolkata Knight Riders,Right hand Bat,Right arm Fast,Bowler
SaiSudharsan,Gujarat Titans,Left hand Bat,Legbreak,Top order Batter
PradeepSangwan,Gujarat Titans,Right hand Bat,Left arm Medium,Bowler
SeanAbbott,Sunrisers Hyderabad,Right hand Bat,Right arm Fast medium,Bowling Allrounder
DwainePretorius,Chennai super kings,Right hand Bat,Right arm Medium fast,Bowling Allrounder
KarunNair,rajasthan royals,Right hand Bat,Right arm Offbreak,Top order Batter
DarylMitchell,rajasthan royals,Right hand Bat,Right arm Medium,Batting Allrounder
AbhinavManohar,Gujarat Titans,Right hand Bat,Legbreak Googly,Batting Allrounder
SuyashPrabhudessai,Royal Challengers Bengaluru,Right hand Bat,Right arm Medium,Batting Allrounder
VaibhavArora,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
OdeanSmith,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
TymalMills,Mumbai Indians,Right hand Bat,Left arm Fast,Bowler
AmanHakimKhan,Kolkata Knight Riders,Right hand Bat,Right arm Medium,Allrounder
BasilThampi,Mumbai Indians,Right hand Bat,Right arm Fast medium,Bowler
AkashDeep,Royal Challengers Bengaluru,Right hand Bat,Right arm Fast medium,Bowling Allrounder
DarshanNalkande,Gujarat Titans,Right hand Bat,Right arm Fast medium,Bowler
RasikhSalam,Kolkata Knight Riders,Right hand Bat,Right arm Medium,Bowler
DavidWilley,Royal Challengers Bengaluru,Left hand Bat,Left arm Fast medium,Bowling Allrounder
AndrewTye,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
SherfaneRutherford,Royal Challengers Bengaluru,Left hand Bat,Right arm Fast medium,Middle order Batter
VarunAaron,Gujarat Titans,Right hand Bat,Right arm Fast,Bowler
RajBawa,Punjab Kings,Left hand Bat,Right arm Medium fast,Allrounder
TusharDeshpande,Chennai super kings,Left hand Bat,Right arm Medium,Bowler
NoorAhmad,Gujarat Titans,Right hand Bat,Left arm Wrist spin,Bowler
JoshLittle,Gujarat Titans,Right hand Bat,Left arm Fast medium,Bowler
MohitSharma,Gujarat Titans,Right hand Bat,Right arm Medium,Bowler
NehalWadhera,Mumbai Indians,Left hand Bat,Legbreak,Top order Batter
CameronGreen,Mumbai Indians,Right hand Bat,Right arm Fast medium,Batting Allrounder
VishnuVinod,Mumbai Indians,Right hand Bat,Not Available,Wicketkeeper Batter
JasonBehrendorff,Mumbai Indians,Right hand Bat,Left arm Fast medium,Bowler
AkashMadhwal,Mumbai Indians,Right hand Bat,Right arm Medium fast,Bowler
KyleMayers,Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder
Naveen-ul-Haq,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
YashThakur,Super Giants,Right hand Bat,Right arm Fast medium,Bowler
DasunShanaka,Gujarat Titans,Right hand Bat,Right arm Medium,Allrounder
MichaelBracewell,Royal Challengers Bengaluru,Left hand Bat,Right arm Offbreak,Batting Allrounder
WayneParnell,Royal Challengers Bengaluru,Left hand Bat,Left arm Medium fast,Bowler
VijaykumarVyshak,Royal Challengers Bengaluru,Right hand Bat,Right arm Medium,Bowler
HimanshuSharma,Royal Challengers Bengaluru,Right hand Bat,Legbreak,Bowler
VivrantSharma,Sunrisers Hyderabad,Left hand Bat,Legbreak Googly,Allrounder
HeinrichKlaasen,Sunrisers Hyderabad,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
HarryBrook,Sunrisers Hyderabad,Right hand Bat,Right arm Medium,Batter
SanvirSingh,Sunrisers Hyderabad,Right hand Bat,Right arm Medium,Allrounder
NitishKumarReddy,Sunrisers Hyderabad,Right hand Bat,Right arm Medium fast,Batting Allrounder
MayankDagar,Sunrisers Hyderabad,Right hand Bat,Slow Left arm Orthodox,Bowler
RahmanullahGurbaz,Kolkata Knight Riders,Right hand Bat,Not Available,Wicketkeeper Batter
SuyashSharma,Kolkata Knight Riders,Right hand Bat,Legbreak Googly,Bowler
PhilSalt,Delhi Capitals,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
RileeRossouw,Delhi Capitals,Left hand Bat,Right arm Offbreak,Top order Batter
YashDhull,Delhi Capitals,Right hand Bat,Right arm Offbreak,Top order Batter
AtharvaTaide,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
DhruvJurel,rajasthan royals,Right hand Bat,Not Available,Wicketkeeper Batter
AdamZampa,rajasthan royals,Right hand Bat,Legbreak Googly,Bowler
KarnSharma,Royal Challengers Bengaluru,Left hand Bat,Legbreak Googly,Bowler
MukeshKumar,Delhi Capitals,Right hand Bat,Right arm Medium,Bowler
SwapnilSingh,Super Giants,Right hand Bat,Slow Left arm Orthodox,Bowler
JoeRoot,rajasthan royals,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
SikandarRaza,Punjab Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder
PraveenDubey,Delhi Capitals,Right hand Bat,Legbreak Googly,Bowler
YudhvirSingh,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
ArshadKhan,Mumbai Indians,Left hand Bat,Left arm Medium,Bowler
JofraArcher,Mumbai Indians,Right hand Bat,Right arm Fast,Bowler
RaghavGoyal,Mumbai Indians,Left hand Bat,Left arm Wrist spin,Bowler
MatthewShort,Punjab Kings,Right hand Bat,Right arm Offbreak,Top order Batter
AkealHosein,Sunrisers Hyderabad,Left hand Bat,Slow Left arm Orthodox,Bowler
DavidWiese,Kolkata Knight Riders,Right hand Bat,Right arm Medium fast,Allrounder
GurnoorBrar,Punjab Kings,Left hand Bat,Right arm Fast,Bowler
ArjunTendulkar,Mumbai Indians,Left hand Bat,Left arm Medium fast,Bowler
KulwantKhejroliya,Kolkata Knight Riders,Left hand Bat,Left arm Medium fast,Bowler
AbdulBasith,rajasthan royals,Right hand Bat,Right arm Offbreak,Allrounder
HarpreetSingh,Punjab Kings,Left hand Bat,Right arm Medium,Batter
LittonDas,Kolkata Knight Riders,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
DuanJansen,Mumbai Indians,Right hand Bat,Left arm Fast,Bowler
MarkWood,Super Giants,Right hand Bat,Right arm Fast,Bowler
AbishekPorel,Delhi Capitals,Left hand Bat,Not Available,Wicketkeeper Batter
SisandaMagala,Chennai super kings,Right hand Bat,Right arm Fast medium,Bowler
MohitRathee,Punjab Kings,Right hand Bat,Legbreak,Allrounder
RajvardhanHangargekar,Chennai super kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
ReeceTopley,Royal Challengers Bengaluru,Right hand Bat,Left arm Fast medium,Bowler
Angkrish Raghuvanshi,Kolkata Knight Riders,Left-hand bat,Right-arm offbreak,Top-order Batter
Naman Dhir,Mumbai Indians Indians,Right-hand bat,Right-arm offbreak,Middle-order Batter
Ashutosh Sharma,Punjab Kings,Right-hand bat,Right-arm legbreak,Lower-order Batter
Sameer Rizvi,Chennai Chennai super kings,Right-hand bat,Right-arm offbreak,Middle-order Batter
Sumit Kumar,Delhi Delhi Capitals,Right-hand bat,Right-arm medium,Bowling Allrounder
Shubham Dubey,Rajasthan rajasthan royals,Left-hand bat,-,Batter
Kumar Kushagra,Delhi Delhi Capitals,Right-hand bat,-,Wicketkeeper Batter
Arshin Kulkarni,Lucknow Super Giants,Right-hand bat,Right-arm medium,Batting Allrounder
Jake Fraser-McGurk,Delhi Delhi Capitals,Right-hand bat,–,Top-order Batter
Gerald Coetzee,Mumbai Indians Indians,Right-hand bat,Right-arm fast,Fast Bowler
Spencer Johnson,Gujarat Gujarat Titans,Left-hand bat,Left-arm fast-medium,Left-arm Fast Bowler
Rachin Ravindra,Chennai Chennai super kings,Left-hand bat,Left-arm orthodox,Batting All-rounder
Dilshan Madushanka,Mumbai Indians Indians,Right-hand bat,Left-arm fast,Fast Bowler
Nuwan Thushara,Mumbai Indians Indians,Right-hand bat,Right-arm medium-fast,Fast Bowler
Azmatullah Omarzai,Gujarat Gujarat Titans,Right-hand bat,Right-arm medium-fast,All-rounder
Shamar Joseph,Lucknow Super Giants,Right-hand bat,Right-arm fast,Fast Bowler
Nandre Burger,Rajasthan rajasthan royals,Right-hand bat,Left-arm fast,Left-arm Fast Bowler
Vijayakanth Viyaskanth,Sunrisers Hyderabad Hyderabad,Right-hand bat,Right-arm legbreak,Leg-spin Bowler
